 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,rgbmatrixpanel_cpld
Project Path,D:\Projects\RGBMatrixPanelCPLD-PhotonBackpack\hardware
Project Fitted on,Sun May 15 22:41:34 2016

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,TDI,-,,,,,
2,I_O,0,A5,,,,
3,I_O,0,A6,,,,
4,I_O,0,A7,,,,
5,GNDIO0,-,,,,,
6,VCCIO0,-,,,,,
7,I_O,0,A8,,,,
8,I_O,0,A9,,,,
9,I_O,0,A10,,,,
10,TCK,-,,,,,
11,VCC,-,,,,,
12,GND,-,,,,,
13,I_O,0,A12,,,,
14,I_O,0,A13,,,,
15,I_O,0,A14,,,,
16,I_O,0,A15,,,,
17,INCLK2,1,,,,,
18,I_O,1,B0,*,LVCMOS18,Output,rgbs_5_
19,I_O,1,B1,*,LVCMOS18,Output,rgbs_4_
20,I_O,1,B2,*,LVCMOS18,Output,rgbs_3_
21,I_O,1,B3,*,LVCMOS18,Output,rgbs_2_
22,I_O,1,B4,*,LVCMOS18,Output,rgbs_1_
23,TMS,-,,,,,
24,I_O,1,B5,*,LVCMOS18,Output,rgbs_0_
25,I_O,1,B6,*,LVCMOS18,Output,clk_out
26,I_O,1,B7,*,LVCMOS18,Output,latch_out
27,GNDIO1,-,,,,,
28,VCCIO1,-,,,,,
29,I_O,1,B8,*,LVCMOS18,Output,row_0_
30,I_O,1,B9,*,LVCMOS18,Output,row_1_
31,I_O,1,B10,*,LVCMOS18,Output,row_2_
32,TDO,-,,,,,
33,VCC,-,,,,,
34,GND,-,,,,,
35,I_O,1,B12,*,LVCMOS18,Output,row_3_
36,I_O,1,B13,,,,
37,I_O,1,B14,,,,
38,I_O/OE,1,B15,,,,
39,INCLK0,0,,,,,
40,I_O/OE,0,A0,*,LVCMOS18,Input,clk
41,I_O,0,A1,,LVCMOS18,Output,rgbs_6_
42,I_O,0,A2,*,LVCMOS18,Input,si
43,I_O,0,A3,*,LVCMOS18,Input,reset
44,I_O,0,A4,,LVCMOS18,Output,rgbs_7_
